,comment_id,user_id,platform,date_time,likes_count,comment_raw,comment_cleaned_emoji,comment_cleaned_no_emoji,comment_processed,vader_compound_emoji,vader_compound_no_emoji
1416,17912394727608175,5831555028,instagram,2021-02-11 09:54:30,0,“What about Hunter Biden?”,“What about Hunter Biden?”,“What about Hunter Biden?”,"['hunter', 'biden']",0.0,0.0
1417,17899686496770921,239904874,instagram,2021-02-11 09:09:40,2,"When you’ve got nothing, there is always this 🤣","When you’ve got nothing, there is always this 🤣","When you’ve got nothing, there is always this 🤣","['got', 'nothing', 'always']",0.4939,0.4939
1418,18140980042179166,35566053072,instagram,2021-02-11 08:45:40,10,"Hillary showed up, endured hours of questioning and testified. Trump hid like a cry baby.","Hillary showed up, endured hours of questioning and testified. Trump hid like a cry baby.","Hillary showed up, endured hours of questioning and testified. Trump hid like a cry baby.","['hillary', 'showed', 'endured', 'hours', 'questioning', 'testified', 'hid', 'like', 'cry', 'baby']",-0.34,-0.34
1419,17916985249563800,17710681168,instagram,2021-02-11 08:16:57,1,#traitortrumpfordeathrow,,,[],0.0,0.0
1420,17881858259082709,53113021,instagram,2021-02-11 07:45:08,1,😂,😂,,[],0.4404,0.0
1421,17975294308357922,45759584573,instagram,2021-02-11 07:41:03,0,Yeah,Yeah,Yeah,['yeah'],0.296,0.296
1422,17914659739596262,8188920195,instagram,2021-02-11 07:30:08,0,Of course,Of course,Of course,['course'],0.0,0.0
1423,17866003649340263,1825625424,instagram,2021-02-11 07:29:40,0,ya.. those fargen emails....,ya.. those fargen emails....,ya.. those fargen emails....,"['ya', 'fargen', 'emails']",0.0,0.0
1424,17912103229612084,754765605,instagram,2021-02-11 07:11:52,3,"Ahhh, it never gets old 😂","Ahhh, it never gets old 😂","Ahhh, it never gets old ","['ahhh', 'never', 'gets', 'old']",0.4404,0.0
1425,17868846347324509,8740343133,instagram,2021-02-11 07:01:48,0,🙃🤣😂🤣😂,🙃🤣😂🤣😂,🤣🤣,[],0.9042,0.7506
1426,18191451796005610,1745553867,instagram,2021-02-11 06:58:43,8,I think of my former friends who didn’t vote for her......pretty sure they’re regretting it now.  Most were x-military.  X,I think of my former friends who didn’t vote for her......pretty sure they’re regretting it now.  Most were x-military.  X,I think of my former friends who didn’t vote for her......pretty sure they’re regretting it now.  Most were x-military.  X,"['think', 'former', 'friends', 'vote', 'pretty', 'sure', 'regretting', 'x']",0.4019,0.4019
1427,18105745096206143,3221365976,instagram,2021-02-11 06:51:32,1,🙄,🙄,,[],0.0,0.0
1428,17872258775307584,37143238310,instagram,2021-02-11 06:37:38,1,😂,😂,,[],0.4404,0.0
1429,17894328412868141,9228614067,instagram,2021-02-11 06:25:50,0,#PostOpinions #WashingtonPost #cartoonist #politicalcartoons #editorialcartoons #impeachtrump #trumpimpeachment #trumpimpeachmenttrial #trumptrial #dumptrump #trumplost #gop #democrat #democrats #democraticparty #politics #uspolitics #americanpolitics #washingtondc #MikeSmith,                   ,                   ,[],0.0,0.0
1430,18156770758104638,33647821738,instagram,2021-02-11 14:17:38,1,Fucking bitch Mitch. 💩💩💩,Fucking bitch Mitch. 💩💩💩,Fucking bitch Mitch. ,"['fucking', 'bitch', 'mitch']",-0.624,-0.624
1431,18091512241234600,687740231,instagram,2021-02-11 07:26:02,1,Besides the orange alien is taking up Days of Our Lives time!,Besides the orange alien is taking up Days of Our Lives time!,Besides the orange alien is taking up Days of Our Lives time!,"['besides', 'orange', 'alien', 'taking', 'days', 'lives', 'time']",0.0,0.0
1432,18138105115182294,571347835,instagram,2021-02-11 14:02:58,0,🔥🔥🔥,🔥🔥🔥,,[],-0.7351,0.0
1433,17907732451654725,52741383,instagram,2021-02-11 08:50:28,0,Sheesh bro you killin the game 🔥🔥,Sheesh bro you killin the game 🔥🔥,Sheesh bro you killin the game ,"['sheesh', 'bro', 'killin', 'game']",-0.5859,0.0
1434,17884673720058160,39646185019,instagram,2021-02-16 02:40:07,1,"Yes! If anyone needs a bold cup of coffee to get through the rest of this week, check out our Farwell Trump wall free Mexican coffee!","Yes! If anyone needs a bold cup of coffee to get through the rest of this week, check out our Farwell Trump wall free Mexican coffee!","Yes! If anyone needs a bold cup of coffee to get through the rest of this week, check out our Farwell Trump wall free Mexican coffee!","['yes', 'anyone', 'needs', 'bold', 'cup', 'coffee', 'rest', 'week', 'check', 'farwell', 'wall', 'free', 'mexican', 'coffee']",0.8475,0.8475
1435,17887885801982334,1792134220,instagram,2021-02-13 00:39:34,0,🔥,🔥,,[],-0.34,0.0
1436,17864817413356107,383719228,instagram,2021-02-12 08:44:42,2,Divine feminine energy is stepping up!,Divine feminine energy is stepping up!,Divine feminine energy is stepping up!,"['divine', 'feminine', 'energy', 'stepping']",0.7177,0.7177
1437,17878380353137984,3309839868,instagram,2021-02-12 03:35:28,1,Absolutely !,Absolutely !,Absolutely !,['absolutely'],0.0,0.0
1438,18147155410189240,5441727986,instagram,2021-02-11 23:40:04,1,❤️🙌,❤️🙌,,[],0.0,0.0
1439,18053198725284012,179830114,instagram,2021-02-11 20:59:36,1,🇻🇮🇻🇮🇻🇮🇻🇮🔥🔥🔥🔥,🇻🇮🇻🇮🇻🇮🇻🇮🔥🔥🔥🔥,,[],-0.8225,0.0
1440,17935896751443166,191549642,instagram,2021-02-11 11:02:08,1,"I LOVE her! We NEED more of her. She’s an incredible public speaker, the DNC needs her to be the face of the party more.","I LOVE her! We NEED more of her. She’s an incredible public speaker, the DNC needs her to be the face of the party more.","I LOVE her! We NEED more of her. She’s an incredible public speaker, the DNC needs her to be the face of the party more.","['love', 'need', 'incredible', 'public', 'speaker', 'dnc', 'needs', 'face', 'party']",0.837,0.837
1441,17881441460082521,203099913,instagram,2021-02-11 06:36:05,3,THIS is how a SiSTAR shows up to handle the business!!!,THIS is how a SiSTAR shows up to handle the business!!!,THIS is how a SiSTAR shows up to handle the business!!!,"['sistar', 'shows', 'handle', 'business']",0.0,0.0
1442,17904377686692647,4904478512,instagram,2021-02-11 23:44:12,1,👏👏👏👏👏👏🤎🤎,👏👏👏👏👏👏🤎🤎,🤎🤎,[],0.0,0.0
1443,17888066386919693,6490902679,instagram,2021-02-11 23:35:51,2,👏 So much bravery,👏 So much bravery, So much bravery,"['much', 'bravery']",0.539,0.539
1444,17902789354693778,34223820547,instagram,2021-02-11 21:12:31,0,❤️👏👍,❤️👏👍,,[],0.0,0.0
1445,17873653148198481,7103682068,instagram,2021-02-11 11:32:03,8,I wrote thank you cards to the cleaning staff who had to clean up their “shit” literally 🙏🏻,I wrote thank you cards to the cleaning staff who had to clean up their “shit” literally 🙏🏻,I wrote thank you cards to the cleaning staff who had to clean up their “shit” literally ,"['wrote', 'thank', 'cards', 'cleaning', 'staff', 'clean', 'shit', 'literally']",0.6369,0.6369
1446,18146857495120858,16455314834,instagram,2021-02-11 07:37:13,3,A brave thin line.,A brave thin line.,A brave thin line.,"['brave', 'thin', 'line']",0.5267,0.5267
1447,17899661482773930,2513371233,instagram,2021-02-11 07:15:47,0,🇺🇸😇🗽🦅💙😎💢,🇺🇸😇🗽🦅💙😎💢,🦅,[],0.872,0.0
1448,17933211793473713,221547915,instagram,2021-02-11 06:49:12,2,🙌❤️🔥,🙌❤️🔥,,[],-0.34,0.0
1449,17845427747518211,6825860677,instagram,2021-02-11 06:46:22,3,❤️,❤️,,[],0.0,0.0
1450,17865131033322426,6825860677,instagram,2021-02-11 06:46:19,3,A patriot👏A hero👏,A patriot👏A hero👏,A patriotA hero,[],0.5574,0.5574
1451,17898050020758224,3217400273,instagram,2021-02-11 06:44:06,3,All the footage they’re showing it’s crazy,All the footage they’re showing it’s crazy,All the footage they’re showing it’s crazy,"['footage', 'showing', 'crazy']",-0.34,-0.34
1452,18139492024177167,651987770,instagram,2021-02-11 06:38:46,0,".
.
.
.
.
#poderlatino  #lademocraciavive #womenforbiden #Latinasforbiden #ridinwithbiden #unityoverdivision #politicalempowerment #gentifythevote  #enlalucha #impeachtrump  #womenforbidenhharris #votamos #latinagang #thefutureislatina #teamjoe #contodo #stayvigilant #Latinaaf #countrybeforeparty #eugenegoodman #PresidentBiden #presidentelectbiden #impeachmenttrial #brownissues #Latinodecision #shesepuede #JoebidensAmerica #capitolhill #latinxcommunity #vicepresidentkamalaharris",".
.
.
.
.
                                ",".
.
.
.
.
                                ",[],0.0,0.0
1453,17883322052021132,3134662696,instagram,2021-02-13 22:37:33,0,"Cruz, Hawley, Brooks, GrahamCracker","Cruz, Hawley, Brooks, GrahamCracker","Cruz, Hawley, Brooks, GrahamCracker","['cruz', 'hawley', 'brooks', 'grahamcracker']",0.0,0.0
1454,17860531043425844,17083722942,instagram,2021-02-13 05:22:49,0,I just hope both sides have fun.,I just hope both sides have fun.,I just hope both sides have fun.,"['hope', 'sides', 'fun']",0.7351,0.7351
1455,18194651182010871,31483871971,instagram,2021-02-13 04:57:32,0,I know right!!!!!!!!!!,I know right!!!!!!!!!!,I know right!!!!!!!!!!,"['know', 'right']",0.0,0.0
1456,17880810953105297,39407913188,instagram,2021-02-12 09:54:00,0,😂🙌,😂🙌,,[],0.4404,0.0
1457,17860429064421893,7995739,instagram,2021-02-12 09:40:11,0,😂,😂,,[],0.4404,0.0
1458,17855048117502546,36729051949,instagram,2021-02-12 08:40:03,0,Good golly! Who could've done it???,Good golly! Who could've done it???,Good golly! Who could've done it???,"['good', 'golly', 'could', 'done']",0.5764,0.5764
1459,17899697923772783,481176768,instagram,2021-02-12 08:29:50,0,I don't think we'll ever know,I don't think we'll ever know,I don't think we'll ever know,"['think', 'ever', 'know']",0.0,0.0
1460,17900177632737785,11212970324,instagram,2021-02-12 07:29:51,0,I’d 😂 but I’m too😢,I’d 😂 but I’m too😢,I’d  but I’m too,[],-0.4939,0.0
1461,17871795596309232,29065041,instagram,2021-02-12 06:37:55,0,I know who it was. It was Aunt Tifa and her secret email server. GUYS I SOLVED THE CRIME,I know who it was. It was Aunt Tifa and her secret email server. GUYS I SOLVED THE CRIME,I know who it was. It was Aunt Tifa and her secret email server. GUYS I SOLVED THE CRIME,"['know', 'aunt', 'tifa', 'secret', 'email', 'server', 'guys', 'solved', 'crime']",-0.34,-0.34
1462,17854016945506971,5451652533,instagram,2021-02-12 06:22:59,0,I know. I’m stumped.,I know. I’m stumped.,I know. I’m stumped.,"['know', 'stumped']",0.0,0.0
1463,18136408294145042,365453476,instagram,2021-02-12 02:34:11,1,"@jenny.koby I was going to send this one to you, but you already liked it 😂"," I was going to send this one to you, but you already liked it 😂"," I was going to send this one to you, but you already liked it ","['going', 'send', 'already', 'liked']",0.8201,0.5719
1464,17914183414572876,2337280193,instagram,2021-02-12 00:20:58,0,@senronjohnson @sentedcruz @mcconnellpress,  ,  ,[],0.0,0.0
1465,18092365405236562,35504564,instagram,2021-02-11 22:58:39,0,Huge fucking mystery,Huge fucking mystery,Huge fucking mystery,"['huge', 'fucking', 'mystery']",0.3182,0.3182
1466,17977530031351984,41629802579,instagram,2021-02-11 22:58:00,0,Pay no attention to the guy at the podium shouting orders!,Pay no attention to the guy at the podium shouting orders!,Pay no attention to the guy at the podium shouting orders!,"['pay', 'attention', 'guy', 'podium', 'shouting', 'orders']",-0.4389,-0.4389
1467,17889683287948381,5686369100,instagram,2021-02-11 22:52:49,0,😍😍😍😍👏,😍😍😍😍👏,,[],0.9001,0.0
1468,17905724401715514,30373132,instagram,2021-02-11 21:43:05,0,"Antifa sluts hid drugs in their lady bits and lured these poor republicans down a path of seduction and coercion. Well, if you ask Ted Cruz or some shit.","Antifa sluts hid drugs in their lady bits and lured these poor republicans down a path of seduction and coercion. Well, if you ask Ted Cruz or some shit.","Antifa sluts hid drugs in their lady bits and lured these poor republicans down a path of seduction and coercion. Well, if you ask Ted Cruz or some shit.","['antifa', 'sluts', 'hid', 'drugs', 'lady', 'bits', 'lured', 'poor', 'republicans', 'path', 'seduction', 'coercion', 'well', 'ask', 'ted', 'cruz', 'shit']",-0.8658,-0.8658
1469,18049224907286628,6758272212,instagram,2021-02-11 19:47:14,0,My discord username is lizard Oswalt,My discord username is lizard Oswalt,My discord username is lizard Oswalt,"['discord', 'username', 'lizard', 'oswalt']",-0.4019,-0.4019
1470,17891741407875697,5401306846,instagram,2021-02-11 19:14:39,0,#whodunnit,,,[],0.0,0.0
1471,17976804949342015,19540263964,instagram,2021-02-11 17:42:58,0,"Man, I could hear this tweet","Man, I could hear this tweet","Man, I could hear this tweet","['man', 'could', 'hear', 'tweet']",0.0,0.0
1472,17877938633100214,1411847706,instagram,2021-02-11 16:25:23,0,HA ❤️,HA ❤️,HA ,['ha'],0.4824,0.34
1473,18139403710085934,35613486086,instagram,2021-02-11 15:33:04,0,🤨🧐🤔,🤨🧐🤔,🤨🧐🤔,[],0.0,0.0
1474,17854462457483628,8597400411,instagram,2021-02-11 15:21:27,0,😂😂😂,😂😂😂,,[],0.8271,0.0
1475,17860521827463111,9014540351,instagram,2021-02-11 13:48:35,0,It’s a conundrum,It’s a conundrum,It’s a conundrum,['conundrum'],0.0,0.0
1476,17868906488267814,3904928,instagram,2021-02-11 13:45:32,0,We may never know... 😂,We may never know... 😂,We may never know... ,"['may', 'never', 'know']",0.4404,0.0
1477,17908704391632869,20578365,instagram,2021-02-11 13:39:07,0,It’s a toughie,It’s a toughie,It’s a toughie,['toughie'],-0.1779,-0.1779
1478,17888287279921590,1485321759,instagram,2021-02-11 13:28:48,0,*fingers crossed*,*fingers crossed*,*fingers crossed*,"['fingers', 'crossed']",0.0,0.0
1479,17885367767023040,229342359,instagram,2021-02-11 13:10:36,0,I want to laugh but then remember how sad this is. 😂😢😂😢,I want to laugh but then remember how sad this is. 😂😢😂😢,I want to laugh but then remember how sad this is. ,"['want', 'laugh', 'remember', 'sad']",-0.5106,-0.4019
1480,17902829755735275,269258466,instagram,2021-02-11 13:08:54,0,😂😂😂😂😂😂,😂😂😂😂😂😂,,[],0.9468,0.0
1481,17884655963051103,2288332619,instagram,2021-02-11 12:41:33,0,👏👏👏,👏👏👏,,[],0.0,0.0
1482,17885457569016704,368258456,instagram,2021-02-11 12:25:44,1,😂😂😂😂😂😂,😂😂😂😂😂😂,,[],0.9468,0.0
1483,18194447371041937,11401779964,instagram,2021-02-11 12:12:31,0,It doesn’t matter. Evidence can be overwhelming but republicans will say” nope”,It doesn’t matter. Evidence can be overwhelming but republicans will say” nope”,It doesn’t matter. Evidence can be overwhelming but republicans will say” nope”,"['matter', 'evidence', 'overwhelming', 'republicans', 'say', 'nope']",0.0129,0.0129
1484,17906045386721078,209595225,instagram,2021-02-11 12:08:42,0,Hahaha,Hahaha,Hahaha,['hahaha'],0.5574,0.5574
1485,17870598155219481,2106546201,instagram,2021-02-11 11:59:28,0,❤️Love you Patton,❤️Love you Patton,Love you Patton,['patton'],0.0,0.6369
1486,17920388962537185,7541790216,instagram,2021-02-11 11:56:23,0,Patton Oswald ( as the guy in Walter Mitty) is the real president we need,Patton Oswald ( as the guy in Walter Mitty) is the real president we need,Patton Oswald ( as the guy in Walter Mitty) is the real president we need,"['patton', 'oswald', 'guy', 'walter', 'mitty', 'real', 'president', 'need']",0.0,0.0
1487,17873668181216900,32930740400,instagram,2021-02-11 11:43:05,1,Could've been anyone 🤡,Could've been anyone 🤡,Could've been anyone 🤡,"['could', 'anyone']",0.0,0.0
1488,17878916672136276,7783267618,instagram,2021-02-11 11:40:05,0,I fucking love you @pattonoswalt 😂💙,I fucking love you  😂💙,I fucking love you  ,"['fucking', 'love']",0.9117,0.6697
1489,17975232790359324,18747402,instagram,2021-02-11 11:35:06,0,Right,Right,Right,['right'],0.0,0.0
1490,17891007208919019,4762150975,instagram,2021-02-11 11:34:12,0,"I think it was a huge sloppy POS lifelong troll of anyone it comes across, a troglodyte if you will","I think it was a huge sloppy POS lifelong troll of anyone it comes across, a troglodyte if you will","I think it was a huge sloppy POS lifelong troll of anyone it comes across, a troglodyte if you will","['think', 'huge', 'sloppy', 'pos', 'lifelong', 'troll', 'anyone', 'comes', 'across', 'troglodyte']",0.3182,0.3182
1491,17885714605980956,285392481,instagram,2021-02-11 11:32:00,0,this account makes my chest explode 🤣🤣🤣,this account makes my chest explode 🤣🤣🤣,this account makes my chest explode 🤣🤣🤣,"['account', 'makes', 'chest', 'explode']",0.8625,0.8625
1492,17940047857450461,285392481,instagram,2021-02-11 11:31:52,0,HAHAHAHAHA LMAO,HAHAHAHAHA LMAO,HAHAHAHAHA LMAO,"['hahahahaha', 'lmao']",0.5994,0.5994
1493,17885778370969805,33270633530,instagram,2021-02-11 11:28:22,0,mhm,mhm,mhm,['mhm'],0.0,0.0
1494,17881711949082227,779820708,instagram,2021-02-11 11:14:23,0,Me too.....😂😂😂😂,Me too.....😂😂😂😂,Me too.....,[],0.891,0.0
1495,18153711460118251,277070707,instagram,2021-02-11 11:10:20,0,😂😂,😂😂,,[],0.7003,0.0
1496,17857658882430614,33979797,instagram,2021-02-11 10:45:50,0,❤️,❤️,,[],0.0,0.0
1497,17898057463767024,904311518,instagram,2021-02-11 10:26:45,2,😂😂😂 where’s Sherlock Holmes when you need him?,😂😂😂 where’s Sherlock Holmes when you need him?, where’s Sherlock Holmes when you need him?,"['sherlock', 'holmes', 'need']",0.8271,0.0
1498,17889495796946708,3225741383,instagram,2021-02-11 10:22:17,0,Done !,Done !,Done !,['done'],0.0,0.0
1499,17906216299649461,7172977754,instagram,2021-02-11 10:21:27,0,😂🤦🏼‍♀️,😂🤦🏼‍♀️,🤦‍,[],0.4404,0.0
1500,17908368997641487,45484046304,instagram,2021-02-11 10:15:24,0,"Patton, my first guess is ANTIFA and BLM, supported by liberal billionaires and big tech.","Patton, my first guess is ANTIFA and BLM, supported by liberal billionaires and big tech.","Patton, my first guess is ANTIFA and BLM, supported by liberal billionaires and big tech.","['patton', 'first', 'guess', 'antifa', 'blm', 'supported', 'liberal', 'billionaires', 'big', 'tech']",0.3182,0.3182
1501,17900508937754408,277154830,instagram,2021-02-11 10:13:44,1,@smarksy,,,[],0.0,0.0
1502,18092592628229587,2069378887,instagram,2021-02-11 09:55:08,0,Obviously the GOP is clueless 🙄,Obviously the GOP is clueless 🙄,Obviously the GOP is clueless ,"['obviously', 'gop', 'clueless']",-0.3612,-0.3612
1503,17895854533807798,11923571,instagram,2021-02-11 09:50:08,0,I know! Came out of left field like wuhh?!,I know! Came out of left field like wuhh?!,I know! Came out of left field like wuhh?!,"['know', 'came', 'left', 'field', 'like', 'wuhh']",0.4738,0.4738
1504,17920861330527428,1645748703,instagram,2021-02-11 09:47:29,0,I'll tell you for a Scooby snack!,I'll tell you for a Scooby snack!,I'll tell you for a Scooby snack!,"['tell', 'scooby', 'snack']",0.0,0.0
1505,18158143744128806,44757964977,instagram,2021-02-11 09:46:20,0,Or maybe all the N’rs that burnt a police Dept down,Or maybe all the N’rs that burnt a police Dept down,Or maybe all the N’rs that burnt a police Dept down,"['maybe', 'n', 'rs', 'burnt', 'police', 'dept']",0.0,0.0
1506,17888060452924080,175989624,instagram,2021-02-11 09:46:18,0,😂 let’s hope and pray,😂 let’s hope and pray, let’s hope and pray,"['let', 'hope', 'pray']",0.7964,0.6369
1507,17953294735404806,2293882463,instagram,2021-02-11 09:39:57,0,Sherlock Holmes we need you🔥,Sherlock Holmes we need you🔥,Sherlock Holmes we need you,"['sherlock', 'holmes', 'need']",-0.34,0.0
1508,17884682639045836,22959347,instagram,2021-02-11 09:33:48,0,This is an inscrutable mystery. 🤔 Who could have riled up all those idiots with lies and conspiracy theories? 🤔 It sure would be helpful if the person responsible sold flags with their name on them. I guess we’ll never know. 🤷‍♂️#fucktrump,This is an inscrutable mystery. 🤔 Who could have riled up all those idiots with lies and conspiracy theories? 🤔 It sure would be helpful if the person responsible sold flags with their name on them. I guess we’ll never know. 🤷‍♂️,This is an inscrutable mystery. 🤔 Who could have riled up all those idiots with lies and conspiracy theories? 🤔 It sure would be helpful if the person responsible sold flags with their name on them. I guess we’ll never know. 🤷‍,"['inscrutable', 'mystery', 'could', 'riled', 'idiots', 'lies', 'conspiracy', 'theories', 'sure', 'helpful', 'person', 'responsible', 'sold', 'flags', 'name', 'guess', 'never', 'know']",0.0516,0.0516
1509,17873297867242156,1699388200,instagram,2021-02-11 09:33:21,0,😂😆😂,😂😆😂,,[],0.8074,0.0
1510,17859977354455883,30633020,instagram,2021-02-11 09:32:53,0,Facts!,Facts!,Facts!,['facts'],0.0,0.0
1511,18191306701038376,41791657988,instagram,2021-02-11 09:30:01,0,What a mystery indeed! 😂,What a mystery indeed! 😂,What a mystery indeed! ,"['mystery', 'indeed']",0.4926,0.0
1512,17895283267820895,40390706791,instagram,2021-02-11 09:28:57,0,Lock him up!,Lock him up!,Lock him up!,['lock'],0.0,0.0
1513,18128860405163437,3608632817,instagram,2021-02-11 09:20:27,0,Hahaha right,Hahaha right,Hahaha right,"['hahaha', 'right']",0.5574,0.5574
1514,17905743547715539,3300787077,instagram,2021-02-11 09:09:29,0,It’s was joe Biden 😂,It’s was joe Biden 😂,It’s was joe Biden ,"['joe', 'biden']",0.4404,0.0
1515,17872035887282227,4146868040,instagram,2021-02-11 09:07:11,1,I hate Republicans they will let him off damn man has been getting away with crimes his whole life,I hate Republicans they will let him off damn man has been getting away with crimes his whole life,I hate Republicans they will let him off damn man has been getting away with crimes his whole life,"['hate', 'republicans', 'let', 'damn', 'man', 'getting', 'away', 'crimes', 'whole', 'life']",-0.7506,-0.7506
1516,18145605871139183,278754111,instagram,2021-02-11 09:05:38,0,😂😂😂,😂😂😂,,[],0.8271,0.0
1517,17888113732908661,44456785913,instagram,2021-02-11 08:44:18,0,"I just channeled Perry Mason. He spoke with Lt Tragg Paul Drake DA Hamilton Berger, and the beautiful Della Street. They all said without a doubt strump","I just channeled Perry Mason. He spoke with Lt Tragg Paul Drake DA Hamilton Berger, and the beautiful Della Street. They all said without a doubt strump","I just channeled Perry Mason. He spoke with Lt Tragg Paul Drake DA Hamilton Berger, and the beautiful Della Street. They all said without a doubt strump","['channeled', 'perry', 'mason', 'spoke', 'lt', 'tragg', 'paul', 'drake', 'da', 'hamilton', 'berger', 'beautiful', 'della', 'street', 'said', 'without', 'doubt', 'strump']",0.7193,0.7193
1518,17917606159543121,23099788736,instagram,2021-02-11 08:41:12,0,Can’t ask the @senategop to grasp the obvious.,Can’t ask the  to grasp the obvious.,Can’t ask the  to grasp the obvious.,"['ask', 'grasp', 'obvious']",0.0,0.0
1519,17855408669472652,242242257,instagram,2021-02-11 08:37:44,0,I know! 🤔,I know! 🤔,I know! 🤔,['know'],0.0,0.0
1520,17875399922184687,39175377,instagram,2021-02-11 08:37:13,0,🙌👏👏,🙌👏👏,,[],0.0,0.0
1521,18066484483300843,1529999957,instagram,2021-02-11 08:34:58,0,I’m just unsure 🤔,I’m just unsure 🤔,I’m just unsure 🤔,['unsure'],-0.25,-0.25
1522,17864465402324069,2080772590,instagram,2021-02-11 08:23:19,0,🤣,🤣,🤣,[],0.4939,0.4939
1523,18192611566019342,32353629,instagram,2021-02-11 08:22:48,0,🙌🙌🙌🙌🙌🙌🙌,🙌🙌🙌🙌🙌🙌🙌,,[],0.0,0.0
1524,17868132878332559,14075521316,instagram,2021-02-11 08:22:19,0,🙌,🙌,,[],0.0,0.0
1525,17866415525307442,43459644,instagram,2021-02-11 08:17:58,0,It was Obama’s fault!! 😂<sarcasm>,It was Obama’s fault!! 😂<sarcasm>,It was Obama’s fault!! <sarcasm>,"['obama', 'fault', 'sarcasm']",-0.6351,-0.6351
1526,17891227024904481,4015414095,instagram,2021-02-11 08:17:05,0,"AYO, IT’S MY BOY REMYYYY!!! 🐀","AYO, IT’S MY BOY REMYYYY!!! 🐀","AYO, IT’S MY BOY REMYYYY!!! ","['ayo', 'boy', 'remyyyy']",0.0,0.0
1527,18192512839058210,18062243613,instagram,2021-02-11 08:17:01,0,"Yeah those buses with the """" STOP the steal campigan""""?.🤔what a mystery.","Yeah those buses with the """" STOP the steal campigan""""?.🤔what a mystery.","Yeah those buses with the """" STOP the steal campigan""""?.🤔what a mystery.","['yeah', 'buses', 'stop', 'steal', 'campigan', 'mystery']",-0.6037,-0.6037
1528,17881592528099192,11286009,instagram,2021-02-11 08:15:30,0,😂,😂,,[],0.4404,0.0
1529,17866567574304726,357657880,instagram,2021-02-11 08:15:05,0,Call Sherlock Holmes!,Call Sherlock Holmes!,Call Sherlock Holmes!,"['call', 'sherlock', 'holmes']",0.0,0.0
1530,17873541110178079,5577219,instagram,2021-02-11 08:12:53,2,Hahahahahah,Hahahahahah,Hahahahahah,['hahahahahah'],0.0,0.0
1531,17852684912491726,1352883504,instagram,2021-02-11 08:12:18,0,😂😂😂😂,😂😂😂😂,,[],0.891,0.0
1532,17861033246356707,193875768,instagram,2021-02-11 08:11:20,0,"@jeffrossladd but we don't, because we're not part of a deluded, psychotic cult. We obey the law. We hold our constitution up as a hallowed, revered document and not toilet paper."," but we don't, because we're not part of a deluded, psychotic cult. We obey the law. We hold our constitution up as a hallowed, revered document and not toilet paper."," but we don't, because we're not part of a deluded, psychotic cult. We obey the law. We hold our constitution up as a hallowed, revered document and not toilet paper.","['part', 'deluded', 'psychotic', 'cult', 'obey', 'law', 'hold', 'constitution', 'hallowed', 'revered', 'document', 'toilet', 'paper']",0.6652,0.6652
1533,18139319341085155,2294637230,instagram,2021-02-11 08:06:27,0,Can’t imagine,Can’t imagine,Can’t imagine,['imagine'],0.0,0.0
1534,18157085611110149,3955552,instagram,2021-02-11 08:02:11,0,@ilhameld,,,[],0.0,0.0
1535,17849428196511206,186026293,instagram,2021-02-11 07:59:22,0,"The footage gets exponentially crazy, the more you watch!!! I guess we'll never know what triggered them.","The footage gets exponentially crazy, the more you watch!!! I guess we'll never know what triggered them.","The footage gets exponentially crazy, the more you watch!!! I guess we'll never know what triggered them.","['footage', 'gets', 'exponentially', 'crazy', 'watch', 'guess', 'never', 'know', 'triggered']",-0.5067,-0.5067
1536,17950140184413115,9950690288,instagram,2021-02-11 07:57:55,0,We need to get to the bottom of who the co-conspirators are!! This is a must.,We need to get to the bottom of who the co-conspirators are!! This is a must.,We need to get to the bottom of who the co-conspirators are!! This is a must.,"['need', 'bottom', 'must']",0.0,0.0
1537,17873665058170120,2109460128,instagram,2021-02-11 07:53:37,0,Whosoever could it be? 😂😂😂,Whosoever could it be? 😂😂😂,Whosoever could it be? ,"['whosoever', 'could']",0.8271,0.0
1538,18146613748136641,21641846438,instagram,2021-02-11 07:51:18,0,👉 Gotta love Pat.,👉 Gotta love Pat., Gotta love Pat.,"['got', 'ta', 'love', 'pat']",0.6369,0.6369
1539,17879663813119039,481030959,instagram,2021-02-11 07:50:40,0,We need Sherlock Holmes,We need Sherlock Holmes,We need Sherlock Holmes,"['need', 'sherlock', 'holmes']",0.0,0.0
1540,18096722803219950,7407687321,instagram,2021-02-11 07:49:56,0,Justice in our country is just sad. I've never been so disappointed in my life!,Justice in our country is just sad. I've never been so disappointed in my life!,Justice in our country is just sad. I've never been so disappointed in my life!,"['justice', 'country', 'sad', 'never', 'disappointed', 'life']",-0.6102,-0.6102
1541,17877889931100186,258103984,instagram,2021-02-11 07:49:17,0,😂😂😂😂😂😂😂😂😂,😂😂😂😂😂😂😂😂😂,,[],0.9753,0.0
1542,17896969396827680,53508218,instagram,2021-02-11 07:48:18,0,#TheBeatGoesOnInAmerikkka,,,[],0.0,0.0
1543,18157833802108484,1798923843,instagram,2021-02-11 07:46:03,0,😂😂👏,😂😂👏,,[],0.7003,0.0
