id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1359339588502781953,1359339588502781953,2021-02-10 11:13:07 +08,2021-02-10,11:13:07,+0800,954209013184385024,leong328kok,Tan Kok Leong,,US Senate votes to proceed with Trump impeachment trial  https://t.co/ZYX1YhSS9o,en,[],['https://www.channelnewsasia.com/news/world/us-senate-votes-to-proceed-with-trump-impeachment-trial-14158400#.YCNPP9wt8aA.twitter'],[],0,0,0,[],[],https://twitter.com/Leong328Kok/status/1359339588502781953,False,,0,,Singapore,,,,,,[],,,,
1359316719567687686,1359316719567687686,2021-02-10 09:42:15 +08,2021-02-10,09:42:15,+0800,2511669842,steven_okun,Steven Okun,,"While initially unclear what #Democrats accomplish 2nd #TrumpImpeachment, #ImpeachmentTrial2 now shows likely even more Americans view #Trump needs to be #Convicted and barred from running again, increasing downside risk of #GOP voting against conviction.   https://t.co/G0tZxJAq7A",en,[],['https://youtu.be/Yi1fR9f_GuM'],[],0,0,0,"['democrats', 'trumpimpeachment', 'impeachmenttrial2', 'trump', 'convicted', 'gop']",[],https://twitter.com/Steven_Okun/status/1359316719567687686,False,,0,,Singapore,,,,,,[],,,,
1359287722981007361,1359287722981007361,2021-02-10 07:47:02 +08,2021-02-10,07:47:02,+0800,1246628360119136256,epochtimestoday,The Epoch Times (Singapore),,"#TrumpImpeachment Is ‘Performance Art,’ Similar to #CCP’s Public Shaming Methods: Historian  #CommunistChina #Socialists  https://t.co/YeMBPTTlCu",en,[],['https://epochtimes.today/trump-impeachment-is-performance-art-similar-to-ccps-public-shaming-methods-historian/'],[],0,0,0,"['trumpimpeachment', 'ccp', 'communistchina', 'socialists']",[],https://twitter.com/epochtimestoday/status/1359287722981007361,False,,0,,Singapore,,,,,,[],,,,
1359276274598825984,1359276274598825984,2021-02-10 07:01:32 +08,2021-02-10,07:01:32,+0800,38400130,channelnewsasia,CNA,,US Senate votes to proceed with Trump impeachment trial  https://t.co/uNvdLv5lwz  https://t.co/5riEmCEEyb,en,[],['https://cna.asia/3p72NXC'],['https://pbs.twimg.com/media/Et0ekYcUYAAbSq0.jpg'],0,4,9,[],[],https://twitter.com/ChannelNewsAsia/status/1359276274598825984,False,,1,https://pbs.twimg.com/media/Et0ekYcUYAAbSq0.jpg,Singapore,,,,,,[],,,,
1359275519909392384,1359275519909392384,2021-02-10 06:58:32 +08,2021-02-10,06:58:32,+0800,1131352537,stforeigndesk,ST Foreign Desk,,US Senate votes to proceed with Trump impeachment trial  https://t.co/7c5xB2f8Gh,en,[],['http://dlvr.it/RsMqsM'],[],0,1,1,[],[],https://twitter.com/STForeignDesk/status/1359275519909392384,False,,0,,Singapore,,,,,,[],,,,
1359252205317070851,1359252205317070851,2021-02-10 05:25:54 +08,2021-02-10,05:25:54,+0800,1456545516,khayajames,KhayelihleKhumalo,,Schoen says this won't be a fair trial. There are no due processes and the trial of the private citizen is not allowed. #ImpeachmentTrial #TrumpImpeachment,en,[],[],[],1,1,0,"['impeachmenttrial', 'trumpimpeachment']",[],https://twitter.com/KhayaJames/status/1359252205317070851,False,,0,,Singapore,,,,,,[],,,,
1359240001205248001,1359240001205248001,2021-02-10 04:37:24 +08,2021-02-10,04:37:24,+0800,1456545516,khayajames,KhayelihleKhumalo,,This is a legal quagmire and  what is Castor Jr's point and he's gibbering to quote Piers Morgan 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 He keeps saying senators are patriots and attack on the constitution won't prevail and the document is flawed. Disaster. #ImpeachmentTrial  #TrumpImpeachment,en,[],[],[],1,0,0,"['impeachmenttrial', 'trumpimpeachment']",[],https://twitter.com/KhayaJames/status/1359240001205248001,False,,0,,Singapore,,,,,,[],,,,
1359233053663645699,1359233053663645699,2021-02-10 04:09:47 +08,2021-02-10,04:09:47,+0800,1456545516,khayajames,KhayelihleKhumalo,,"Bruce Castor Jr, Ex-president Donald Trump's defense lawyer says there's a desire for retribution, there's a specific body of law, murder is done with cold blood and people get overcome by events and seek retribution, Senators are extraordinary people. #TrumpImpeachment",en,[],[],[],2,0,2,['trumpimpeachment'],[],https://twitter.com/KhayaJames/status/1359233053663645699,False,,0,,Singapore,,,,,,[],,,,
1359214506350501888,1359214506350501888,2021-02-10 02:56:05 +08,2021-02-10,02:56:05,+0800,183911509,mo95an,NotAboutThatLife,,@JoeNeguse showed up today with all the receipts! The impeachment trial must go on. #TrumpImpeachment #insurrection #CountryOverParty,en,[],[],[],0,0,1,"['trumpimpeachment', 'insurrection', 'countryoverparty']",[],https://twitter.com/mo95an/status/1359214506350501888,False,,0,,Singapore,,,,,,[],,,,
1359128197061836803,1359128197061836803,2021-02-09 21:13:08 +08,2021-02-09,21:13:08,+0800,25924647,billm9,no justice - just us.,,Trump impeachment trial 2.0: The main players  https://t.co/FZRvefhBzx  https://t.co/RL1lD6JAEf,en,[],['https://www.cbc.ca/news/world/trump-impeachment-trial-main-players-1.5905990'],['https://pbs.twimg.com/media/EtyX5CLXAAADpbm.jpg'],0,0,0,[],[],https://twitter.com/billm9/status/1359128197061836803,False,,1,https://pbs.twimg.com/media/EtyX5CLXAAADpbm.jpg,Singapore,,,,,,[],,,,
1353793271214952448,1353793271214952448,2021-01-26 03:54:02 +08,2021-01-26,03:54:02,+0800,81342472,vishnoisays,Abhishek Vishnoi,"{'type': 'Point', 'coordinates': [1.3553794, 103.8677444]}",Evidence Piles Up for Trump Impeachment Trial: O'Brien (Radio)  https://t.co/rbjxfDLkfn,en,[],['http://dlvr.it/RrKMPX'],[],0,0,0,[],[],https://twitter.com/VishnoiSays/status/1353793271214952448,False,,0,,Singapore,,,,,,[],,,,
1350706052690550784,1350706052690550784,2021-01-17 15:26:32 +08,2021-01-17,15:26:32,+0800,816398136847597569,sarcasticlibra8,Kris-T,,Lmao 😂 ✌🏻-out #Trump! #damntrump #TrumpTreason #TrumpIsACompleteFailure #TrumpImpeachment  https://t.co/NBUHo9HFvz,ht,[],[],[],0,1,4,"['trump', 'damntrump', 'trumptreason', 'trumpisacompletefailure', 'trumpimpeachment']",[],https://twitter.com/SarcasticLibra8/status/1350706052690550784,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1350705990619062272/pu/img/s0m8BIDENhpiL-Bd.jpg,Singapore,,,,,,[],,,,
1349505376438292481,1349505376438292481,2021-01-14 07:55:28 +08,2021-01-14,07:55:28,+0800,1346420016950829058,drrhwilliams,RH Williams,,So I wonder how he feels about being a peach... again. #Trump #impeachment #ImpeachmentDay  https://t.co/mlPfmKGwB8,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/Erpn-5BU0AIuDF1.jpg'],0,0,0,"['trump', 'impeachment', 'impeachmentday']",[],https://twitter.com/DrRHWilliams/status/1349505376438292481,False,,1,https://pbs.twimg.com/tweet_video_thumb/Erpn-5BU0AIuDF1.jpg,Singapore,,,,,,[],,,,
