,comment_id,user_id,platform,date_time,likes_count,comment
53,17904360160687533,244908805,instagram,2021-02-17 14:53:33,0,@feministabulous
54,17868845567332722,38573421537,instagram,2021-02-17 06:13:54,1,2-0
55,17895464527876875,548197376,instagram,2021-02-16 23:45:49,0,Funny how the people least equipped to handle violence and danger want to defund the police 🥴
56,17895106021872298,278754880,instagram,2021-02-16 22:41:49,0,None of what you stated is realistic nor will happen. Stop the nonsense hypocrisy..
57,17936128003452746,4063010744,instagram,2021-02-16 12:30:52,2,Hahah. Trump won again. 2-0. 👏👏👏🙌🙌
58,17921161675533918,29048822475,instagram,2021-02-16 12:24:35,1,BRO DONT DEFUND THE POLICE. THEY ARE HERE TO HELP YOU LOTS. THEY FUCKING RISH THEIR LIVES FOR US ALL. AND DONT U COME AT ME FOR THIS. NOT ALL THE POLICE ARE THE SAME. JUST BECAUSE A FEW POLICE OFFICERS OR SOME SHIT DID SOMETHING WRONG. GET OVER IT BRO. U NEED TO TAKE THIS OFF YOUR PAGE
59,17872824170302996,1096328790,instagram,2021-02-16 07:16:00,0,So fucked up.
60,17869422962256962,1090869626,instagram,2021-02-16 07:02:35,1,"@brookiebrownie1234 If I have to see this cringe, you have to see it too."
61,18190896775000677,280099852,instagram,2021-02-16 03:29:40,0,“Minneapolis to spend 6.4 mil on recruiting police as Crime spikes” lmao
62,17861050937472736,280897029,instagram,2021-02-16 02:28:37,0,Absolute *gold*
63,17940574975443328,20111978,instagram,2021-02-16 00:06:51,0,These are so idiotic. 😂 Turn off your CNN and go live in the real world.
64,17916614905570474,1806585993,instagram,2021-02-15 23:46:02,0,"Roses are red, Darth Sidious is evil, why did Disney have to grok up the sequels?"
65,17860683404379618,1806585993,instagram,2021-02-15 23:45:20,0,"Roses are red, I work as a trucker, Shadow the Hedgehog is a B**** a** mother******."
66,17856559307500025,1806585993,instagram,2021-02-15 23:41:30,0,"Roses are red, I hate the MHA fandom, they send death threats because their crazy ""ships"" aren't canon."
67,17894528926885814,5799525350,instagram,2021-02-15 16:27:11,0,Damn y’all dems are crazy
68,18129226252164853,53841,instagram,2021-02-15 14:41:19,0,I love your work 😍🔥🙌🏼
69,18139647124144220,6848356511,instagram,2021-02-15 14:27:50,0,I love these!!!!
70,17894290873894861,7245396014,instagram,2021-02-15 13:23:23,0,I’m sorry but the 4th one don’t rhyme whatsoever
71,17911651366599682,42439259,instagram,2021-02-15 13:02:55,0,💯
72,17904842683676254,37498988710,instagram,2021-02-15 09:35:43,0,Defund politicians all of them
73,17895717277816307,8915037727,instagram,2021-02-15 07:54:11,0,🤸‍♂️
74,18107083000203277,8655386308,instagram,2021-02-15 06:19:02,0,Damn... defunding the police wasnt actually a good thing
75,17961117745376520,6309658686,instagram,2021-02-15 05:27:04,2,This is what wasting hard earned American tax dollars looks like! Exactly what you are advocating and filling the heads of young people that don’t know any better. PS ALL LIVES MATTER!
76,17915009800597253,25566509,instagram,2021-02-15 05:12:00,2,@thechuchuu @_torisaur
77,17895768925862625,435316336,instagram,2021-02-15 03:59:37,1,🙄🙄🙄🙄🙄
78,17929730263471670,180764172,instagram,2021-02-15 01:59:33,0,"Playing Devil's Advocate here. Speaking from Ireland, where my ancestors suffered under the Royal Irish Constabulary and my northern brethren under the RUC until only 20 years ago, the thought of having an inadequate police service scares me. How many of you would feel safe in a city like London for example if the Met weren't there? Reform is possible and better."
79,17858103554436213,44956359100,instagram,2021-02-15 01:10:04,0,❤️🔥🔥
80,17922196975518241,44098784687,instagram,2021-02-15 00:59:41,0,"I don't get the one with ""fuck with AOC"". Can somebody clarify? Thank you!"
81,17898220639755048,7480961668,instagram,2021-02-15 00:54:24,0,Trump was acquitted again.  What’s next little miss drama queen
82,17868409844281436,2139047821,instagram,2021-02-15 00:36:41,0,Is it to late to call
83,17917133344576324,3492859869,instagram,2021-02-15 00:19:09,0,"If we defended the police, more crime would happen in low income neighborhoods and more black lives would be lost."
84,17895534262816837,8033066800,instagram,2021-02-14 23:12:46,0,absolutely not
85,17897711620830052,1995681651,instagram,2021-02-14 23:05:51,0,Wonderful. Thank you!
86,17869172495261756,23904989672,instagram,2021-02-14 22:13:42,0,👏🏿👏🏿 This verdict is ridiculous...not surprised of course.
87,17900347144774803,333235481,instagram,2021-02-14 15:55:28,2,"Holy shit not a single differing opinon, you must be infallible and not delete comments ever at all !!!!! Go gurrrrl!!!!!"
