,comment_id,user_id,platform,date_time,likes_count,comment_raw
0,2481702515306198095,4028120102,instagram,2021-01-08 07:26:55,2429,"These recent events are just a reminder of how senseless racism is in our nation. One can only extrapolate the outcomes for people of a different kindred. 

How is what you’re witnessing moving your heart? What are you going to do about it?

#HatedInAHoodie X @RacismIsLame"
48,17884321756980844,195416010,instagram,2021-01-08 07:47:05,2,Lame AF!
49,18131892682148019,10961158,instagram,2021-01-08 07:46:34,1,The. End. 🙏🏾🖤
50,17862901553312519,36819730990,instagram,2021-01-08 07:46:00,0,My guy I love your  page keep shining 🙏🙏
51,17899560706731521,34985605,instagram,2021-01-08 07:43:34,1,✊🏾
52,17981004460327523,263542732,instagram,2021-01-08 07:35:43,0,✊🏽💯
53,17985671359322397,610979167,instagram,2021-01-08 07:35:12,1,Amen!
54,17879714768067407,19376646,instagram,2021-01-08 07:32:29,0,My guy 💪🏾
55,17888947393887254,2967270667,instagram,2021-01-21 00:07:32,0,And neither had a lick of facts....
56,18188635465059813,1585434015,instagram,2021-01-19 08:02:40,3,"BLM and Antifa wasn’t an insurrection??? Buildings burned down including a police station and a court house, 25 ppl were killed during the summer riots🤪"
57,17982111259332325,175960286,instagram,2021-01-16 01:21:01,0,"🤣🤣 ""you about!"" #loseyourjob"
58,17869459361246817,20335124,instagram,2021-01-15 22:13:44,0,😂
59,17881768922052929,3665181367,instagram,2021-01-15 13:44:41,1,He ain't dancing anymore! 😭😭😭😭
60,17896051858814958,45077493046,instagram,2021-01-15 09:34:43,0,"Am not testifying this to make u jealous but to encourage you that everyone are not fraud.
Just two months that I have been in touch with Mr Hafizah.  I can say that he is the God sent to take me to my destiny.
Sure,, he is willing to help you recovered your lose. @hafizah_trader"
61,17894074732786823,6979892091,instagram,2021-01-15 07:44:15,0,“WE DID IT JOE “😂😂
62,18189684490025731,184164803,instagram,2021-01-15 07:31:53,0,@mckeehan_89
63,17868645464253082,18149515454,instagram,2021-01-15 07:20:51,0,I never knew I will be able to pay off my bills and get to my stand again in life...I want you guys to help appreciate @jburtonfx_
64,17922962203502496,45419937201,instagram,2021-01-15 06:13:52,0,You are the best thing that happened to me during this pandemic wave @jburtonfx_ . Thank you for earning me these profits
65,17976827374342551,173917839,instagram,2021-01-15 04:06:55,0,And he can’t even rage tweet about it. 😂
66,18053924446278545,1981894313,instagram,2021-01-15 03:56:12,1,Omg now I have YMCA stuck in my head lol😂😂😂
67,17868657722259374,5703743325,instagram,2021-01-15 03:47:46,0,Do you think my username is racist
68,18152890789128888,234184969,instagram,2021-01-15 02:13:09,1,His face his hands 😭🤣 *chef’s kiss*
69,17909392756598686,9944770002,instagram,2021-01-14 23:39:34,0,“In 2020 this greog flodyd guy deid and amrica went into the civel whar 2”
70,18047834686281637,387337229,instagram,2021-01-14 23:33:11,0,👏👏👏👏👏👏
71,18185531575053490,5273941807,instagram,2021-01-14 22:39:51,0,Caption 😂
72,17895221452825186,11841670,instagram,2021-01-14 21:10:59,1,Haha the orange face 😂
73,18086809987242362,1804420095,instagram,2021-01-14 21:09:56,0,🤣🤣🤣
74,17872364543142109,2205484813,instagram,2021-01-14 20:28:01,3,This is great 🤣🤣🤣
75,18184903066033539,240964234,instagram,2021-01-14 15:13:58,2,"What you should be asking is how come the impeachment and the 20,000 page domestic terrorism bill was readied in a week, but it took 5 months for stimulus to get pushed through, and how come the $2,000 was overruled with a bipartisan majority where more Republicans than Democrats voted to keep the sum as suggested."
76,17896697392771635,12543754,instagram,2021-01-14 14:59:29,3,omg HIS HANDS AHHHHH
77,17903152012670971,26909881,instagram,2021-01-14 14:41:26,0,Lolololol!🤣
78,17950633540404614,3527542697,instagram,2021-01-14 13:49:32,2,I swear your art is keeping me sane.  Thank you so much for creating it.
79,17883831490996049,8404076207,instagram,2021-01-14 12:59:02,0,😂😂😂
80,18143006545138031,32219134659,instagram,2021-01-14 12:24:25,43,THE HANDS AS FACE COLOR DIFFERENCE IM WHEEZINGGGG
81,17872411658139205,45091722083,instagram,2021-01-14 12:13:06,0,😂😂
82,17916634774558593,3079657,instagram,2021-01-14 12:07:24,1,😂😂😂😂
83,17952304189404010,224857294,instagram,2021-01-14 12:05:29,9,The hand vs the face color has me cracking up 😂
84,17861392883348873,12680008,instagram,2021-01-14 11:58:47,3,UGH that fucking dance (you nailed it)
85,17926229788492566,2376381586,instagram,2021-01-14 11:55:11,1,The caption here is everything 🤣😂
